2.5667 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
13.7587 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
15.8369 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001D00BCFA0D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001D00F0FD3D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.8372 	EXP 	window1: mouseVisible = True
15.8374 	EXP 	window1: mouseVisible = False
15.8375 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
15.8375 	EXP 	window1: recordFrameIntervals = False
16.0017 	EXP 	window1: recordFrameIntervals = True
16.1859 	EXP 	Screen (0) actual frame rate measured at 59.91Hz
16.1860 	EXP 	window1: recordFrameIntervals = False
18.6477 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
18.7169 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
18.7230 	EXP 	Imported C:/Users/debol/Desktop/PsychoPy/discounting.xlsx as conditions, 7 conditions, 3 params
18.7256 	EXP 	Created sequence: random, trialTypes=7, nReps=1, seed=None
18.7258 	EXP 	New trial (rep=0, index=0): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
18.9082 	EXP 	text: height = 0.05
18.9082 	EXP 	text: height = 0.05
18.9082 	EXP 	text: height = 0.05
18.9082 	EXP 	text: text = 'GBP 11 today or  GBP 30 after 7 days'
18.9082 	EXP 	fixation: autoDraw = True
19.7175 	EXP 	text: autoDraw = True
19.9179 	EXP 	fixation: autoDraw = False
23.8572 	EXP 	New trial (rep=0, index=1): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
23.8790 	DATA 	Keypress: l
23.8821 	EXP 	fixation: autoDraw = False
23.8821 	EXP 	text: autoDraw = False
23.8821 	EXP 	text: height = 0.05
